"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","4744","Movement Zone 4744","9/2/2019 - 9/2/2019, Every day, AM Peak",1728,1429,2089
"4946","Movement Zone 4946","4745","Movement Zone 4745","9/2/2019 - 9/2/2019, Every day, AM Peak",1492,1232,1806
"4946","Movement Zone 4946","4746","Movement Zone 4746","9/2/2019 - 9/2/2019, Every day, AM Peak",2415,1957,2979
"4946","Movement Zone 4946","4747","Movement Zone 4747","9/2/2019 - 9/2/2019, Every day, AM Peak",1906,1588,2286
"4946","Movement Zone 4946","4748","Movement Zone 4748","9/2/2019 - 9/2/2019, Every day, AM Peak",1406,1283,1540
"4946","Movement Zone 4946","4749","Movement Zone 4749","9/2/2019 - 9/2/2019, Every day, AM Peak",2698,2231,3261
"4946","Movement Zone 4946","4750","Movement Zone 4750","9/2/2019 - 9/2/2019, Every day, AM Peak",2663,2176,3258
"4946","Movement Zone 4946","4751","Movement Zone 4751","9/2/2019 - 9/2/2019, Every day, AM Peak",2801,2270,3454
"4946","Movement Zone 4946","4752","Movement Zone 4752","9/2/2019 - 9/2/2019, Every day, AM Peak",2932,2459,3495
"4946","Movement Zone 4946","4753","Movement Zone 4753","9/2/2019 - 9/2/2019, Every day, AM Peak",2731,2277,3274
"4946","Movement Zone 4946","4754","Movement Zone 4754","9/2/2019 - 9/2/2019, Every day, AM Peak",2536,2125,3025
"4946","Movement Zone 4946","4755","Movement Zone 4755","9/2/2019 - 9/2/2019, Every day, AM Peak",2345,1923,2859
"4946","Movement Zone 4946","4756","Movement Zone 4756","9/2/2019 - 9/2/2019, Every day, AM Peak",2186,1819,2626
"4946","Movement Zone 4946","4757","Movement Zone 4757","9/2/2019 - 9/2/2019, Every day, AM Peak",1976,1632,2391
"4946","Movement Zone 4946","4758","Movement Zone 4758","9/2/2019 - 9/2/2019, Every day, AM Peak",1739,1365,2214
"4946","Movement Zone 4946","4759","Movement Zone 4759","9/2/2019 - 9/2/2019, Every day, AM Peak",1854,1525,2253
"4946","Movement Zone 4946","4760","Movement Zone 4760","9/2/2019 - 9/2/2019, Every day, AM Peak",1963,1559,2470
"4946","Movement Zone 4946","4761","Movement Zone 4761","9/2/2019 - 9/2/2019, Every day, AM Peak",1659,1328,2071
"4946","Movement Zone 4946","4762","Movement Zone 4762","9/2/2019 - 9/2/2019, Every day, AM Peak",1602,1261,2033
"4946","Movement Zone 4946","4763","Movement Zone 4763","9/2/2019 - 9/2/2019, Every day, AM Peak",1551,1243,1934
"4946","Movement Zone 4946","4766","Movement Zone 4766","9/2/2019 - 9/2/2019, Every day, AM Peak",2683,2273,3166
"4946","Movement Zone 4946","4767","Movement Zone 4767","9/2/2019 - 9/2/2019, Every day, AM Peak",2268,1776,2895
"4946","Movement Zone 4946","4768","Movement Zone 4768","9/2/2019 - 9/2/2019, Every day, AM Peak",1837,1397,2414
"4946","Movement Zone 4946","4769","Movement Zone 4769","9/2/2019 - 9/2/2019, Every day, AM Peak",1413,1136,1756
"4946","Movement Zone 4946","4770","Movement Zone 4770","9/2/2019 - 9/2/2019, Every day, AM Peak",1649,1325,2052
"4946","Movement Zone 4946","4771","Movement Zone 4771","9/2/2019 - 9/2/2019, Every day, AM Peak",1268,983,1634
"4946","Movement Zone 4946","4773","Movement Zone 4773","9/2/2019 - 9/2/2019, Every day, AM Peak",2240,1852,2708
"4946","Movement Zone 4946","4774","Movement Zone 4774","9/2/2019 - 9/2/2019, Every day, AM Peak",2532,1960,3269
"4946","Movement Zone 4946","4775","Movement Zone 4775","9/2/2019 - 9/2/2019, Every day, AM Peak",3005,2611,3458
"4946","Movement Zone 4946","4776","Movement Zone 4776","9/2/2019 - 9/2/2019, Every day, AM Peak",2818,2526,3142
"4946","Movement Zone 4946","4777","Movement Zone 4777","9/2/2019 - 9/2/2019, Every day, AM Peak",2747,2351,3208
"4946","Movement Zone 4946","4778","Movement Zone 4778","9/2/2019 - 9/2/2019, Every day, AM Peak",2594,2199,3059
"4946","Movement Zone 4946","4779","Movement Zone 4779","9/2/2019 - 9/2/2019, Every day, AM Peak",2412,1637,3552
"4946","Movement Zone 4946","4780","Movement Zone 4780","9/2/2019 - 9/2/2019, Every day, AM Peak",1742,1402,2163
"4946","Movement Zone 4946","4781","Movement Zone 4781","9/2/2019 - 9/2/2019, Every day, AM Peak",2164,1802,2598
"4946","Movement Zone 4946","4782","Movement Zone 4782","9/2/2019 - 9/2/2019, Every day, AM Peak",3077,2561,3696
"4946","Movement Zone 4946","4783","Movement Zone 4783","9/2/2019 - 9/2/2019, Every day, AM Peak",2053,1643,2563
"4946","Movement Zone 4946","4784","Movement Zone 4784","9/2/2019 - 9/2/2019, Every day, AM Peak",1695,1392,2063
"4946","Movement Zone 4946","4785","Movement Zone 4785","9/2/2019 - 9/2/2019, Every day, AM Peak",2731,2265,3292
"4946","Movement Zone 4946","4786","Movement Zone 4786","9/2/2019 - 9/2/2019, Every day, AM Peak",2302,1607,3296
"4946","Movement Zone 4946","4787","Movement Zone 4787","9/2/2019 - 9/2/2019, Every day, AM Peak",2099,1500,2936
"4946","Movement Zone 4946","4788","Movement Zone 4788","9/2/2019 - 9/2/2019, Every day, AM Peak",3055,2460,3793
"4946","Movement Zone 4946","4790","Movement Zone 4790","9/2/2019 - 9/2/2019, Every day, AM Peak",1544,1242,1918
"4946","Movement Zone 4946","4791","Movement Zone 4791","9/2/2019 - 9/2/2019, Every day, AM Peak",1686,1366,2079
"4946","Movement Zone 4946","4793","Movement Zone 4793","9/2/2019 - 9/2/2019, Every day, AM Peak",1549,1277,1878
"4946","Movement Zone 4946","4794","Movement Zone 4794","9/2/2019 - 9/2/2019, Every day, AM Peak",1444,1134,1838
"4946","Movement Zone 4946","4795","Movement Zone 4795","9/2/2019 - 9/2/2019, Every day, AM Peak",1410,1159,1715
"4946","Movement Zone 4946","4796","Movement Zone 4796","9/2/2019 - 9/2/2019, Every day, AM Peak",1457,1178,1801
"4946","Movement Zone 4946","4797","Movement Zone 4797","9/2/2019 - 9/2/2019, Every day, AM Peak",2024,1631,2510
"4946","Movement Zone 4946","4798","Movement Zone 4798","9/2/2019 - 9/2/2019, Every day, AM Peak",2181,1796,2647
"4946","Movement Zone 4946","4799","Movement Zone 4799","9/2/2019 - 9/2/2019, Every day, AM Peak",2061,1695,2505
"4946","Movement Zone 4946","4800","Movement Zone 4800","9/2/2019 - 9/2/2019, Every day, AM Peak",3009,2498,3624
"4946","Movement Zone 4946","4801","Movement Zone 4801","9/2/2019 - 9/2/2019, Every day, AM Peak",2751,2299,3291
"4946","Movement Zone 4946","4804","Movement Zone 4804","9/2/2019 - 9/2/2019, Every day, AM Peak",3048,2434,3815
"4946","Movement Zone 4946","4805","Movement Zone 4805","9/2/2019 - 9/2/2019, Every day, AM Peak",3507,2813,4371
"4946","Movement Zone 4946","4806","Movement Zone 4806","9/2/2019 - 9/2/2019, Every day, AM Peak",3340,2747,4060
"4946","Movement Zone 4946","4807","Movement Zone 4807","9/2/2019 - 9/2/2019, Every day, AM Peak",3287,2639,4093
"4946","Movement Zone 4946","4808","Movement Zone 4808","9/2/2019 - 9/2/2019, Every day, AM Peak",3536,3015,4146
"4946","Movement Zone 4946","4809","Movement Zone 4809","9/2/2019 - 9/2/2019, Every day, AM Peak",3250,2634,4008
"4946","Movement Zone 4946","4812","Movement Zone 4812","9/2/2019 - 9/2/2019, Every day, AM Peak",2166,1765,2656
"4946","Movement Zone 4946","4813","Movement Zone 4813","9/2/2019 - 9/2/2019, Every day, AM Peak",2396,1964,2921
"4946","Movement Zone 4946","4814","Movement Zone 4814","9/2/2019 - 9/2/2019, Every day, AM Peak",3366,2845,3981
"4946","Movement Zone 4946","4815","Movement Zone 4815","9/2/2019 - 9/2/2019, Every day, AM Peak",3807,3256,4449
"4946","Movement Zone 4946","4816","Movement Zone 4816","9/2/2019 - 9/2/2019, Every day, AM Peak",2785,2299,3373
"4946","Movement Zone 4946","4817","Movement Zone 4817","9/2/2019 - 9/2/2019, Every day, AM Peak",2752,2380,3181
"4946","Movement Zone 4946","4818","Movement Zone 4818","9/2/2019 - 9/2/2019, Every day, AM Peak",3094,2648,3614
"4946","Movement Zone 4946","4819","Movement Zone 4819","9/2/2019 - 9/2/2019, Every day, AM Peak",3323,2822,3912
"4946","Movement Zone 4946","4820","Movement Zone 4820","9/2/2019 - 9/2/2019, Every day, AM Peak",2979,2390,3712
"4946","Movement Zone 4946","4822","Movement Zone 4822","9/2/2019 - 9/2/2019, Every day, AM Peak",3466,2803,4285
