"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","2023","Movement Zone 2023","9/1/2019 - 9/1/2019, Every day, Daily Average",1418,1200,1674
"4946","Movement Zone 4946","2029","Movement Zone 2029","9/1/2019 - 9/1/2019, Every day, Daily Average",1449,1264,1660
"4946","Movement Zone 4946","2058","Movement Zone 2058","9/1/2019 - 9/1/2019, Every day, Daily Average",2380,1968,2877
"4946","Movement Zone 4946","2060","Movement Zone 2060","9/1/2019 - 9/1/2019, Every day, Daily Average",2662,2282,3105
"4946","Movement Zone 4946","2061","Movement Zone 2061","9/1/2019 - 9/1/2019, Every day, Daily Average",2235,1890,2641
"4946","Movement Zone 4946","2063","Movement Zone 2063","9/1/2019 - 9/1/2019, Every day, Daily Average",1509,1231,1849
"4946","Movement Zone 4946","2064","Movement Zone 2064","9/1/2019 - 9/1/2019, Every day, Daily Average",1436,1168,1764
"4946","Movement Zone 4946","2066","Movement Zone 2066","9/1/2019 - 9/1/2019, Every day, Daily Average",1738,1413,2137
"4946","Movement Zone 4946","2067","Movement Zone 2067","9/1/2019 - 9/1/2019, Every day, Daily Average",1653,1393,1960
"4946","Movement Zone 4946","2070","Movement Zone 2070","9/1/2019 - 9/1/2019, Every day, Daily Average",1711,1568,1866
"4946","Movement Zone 4946","2071","Movement Zone 2071","9/1/2019 - 9/1/2019, Every day, Daily Average",2543,2117,3053
"4946","Movement Zone 4946","2072","Movement Zone 2072","9/1/2019 - 9/1/2019, Every day, Daily Average",2379,1958,2890
"4946","Movement Zone 4946","2073","Movement Zone 2073","9/1/2019 - 9/1/2019, Every day, Daily Average",1646,1379,1964
"4946","Movement Zone 4946","2074","Movement Zone 2074","9/1/2019 - 9/1/2019, Every day, Daily Average",1626,1396,1893
"4946","Movement Zone 4946","2075","Movement Zone 2075","9/1/2019 - 9/1/2019, Every day, Daily Average",2265,1719,2984
"4946","Movement Zone 4946","2077","Movement Zone 2077","9/1/2019 - 9/1/2019, Every day, Daily Average",1895,1636,2194
"4946","Movement Zone 4946","2078","Movement Zone 2078","9/1/2019 - 9/1/2019, Every day, Daily Average",1575,1177,2105
"4946","Movement Zone 4946","2079","Movement Zone 2079","9/1/2019 - 9/1/2019, Every day, Daily Average",1724,1444,2058
"4946","Movement Zone 4946","2080","Movement Zone 2080","9/1/2019 - 9/1/2019, Every day, Daily Average",1710,1521,1922
"4946","Movement Zone 4946","2082","Movement Zone 2082","9/1/2019 - 9/1/2019, Every day, Daily Average",2466,1919,3167
"4946","Movement Zone 4946","2085","Movement Zone 2085","9/1/2019 - 9/1/2019, Every day, Daily Average",1497,1263,1773
"4946","Movement Zone 4946","2086","Movement Zone 2086","9/1/2019 - 9/1/2019, Every day, Daily Average",1374,1052,1794
"4946","Movement Zone 4946","2087","Movement Zone 2087","9/1/2019 - 9/1/2019, Every day, Daily Average",1309,1014,1689
"4946","Movement Zone 4946","2088","Movement Zone 2088","9/1/2019 - 9/1/2019, Every day, Daily Average",1298,1080,1558
"4946","Movement Zone 4946","2089","Movement Zone 2089","9/1/2019 - 9/1/2019, Every day, Daily Average",1544,1088,2190
"4946","Movement Zone 4946","2093","Movement Zone 2093","9/1/2019 - 9/1/2019, Every day, Daily Average",2158,1784,2609
"4946","Movement Zone 4946","2097","Movement Zone 2097","9/1/2019 - 9/1/2019, Every day, Daily Average",1604,1297,1983
"4946","Movement Zone 4946","2098","Movement Zone 2098","9/1/2019 - 9/1/2019, Every day, Daily Average",2345,2093,2626
"4946","Movement Zone 4946","2099","Movement Zone 2099","9/1/2019 - 9/1/2019, Every day, Daily Average",1736,1400,2152
"4946","Movement Zone 4946","2100","Movement Zone 2100","9/1/2019 - 9/1/2019, Every day, Daily Average",1746,1504,2026
"4946","Movement Zone 4946","2101","Movement Zone 2101","9/1/2019 - 9/1/2019, Every day, Daily Average",2006,1706,2358
"4946","Movement Zone 4946","2102","Movement Zone 2102","9/1/2019 - 9/1/2019, Every day, Daily Average",1624,1332,1979
"4946","Movement Zone 4946","2103","Movement Zone 2103","9/1/2019 - 9/1/2019, Every day, Daily Average",2677,2241,3197
"4946","Movement Zone 4946","2104","Movement Zone 2104","9/1/2019 - 9/1/2019, Every day, Daily Average",2491,2158,2874
"4946","Movement Zone 4946","2106","Movement Zone 2106","9/1/2019 - 9/1/2019, Every day, Daily Average",1784,1511,2105
"4946","Movement Zone 4946","2107","Movement Zone 2107","9/1/2019 - 9/1/2019, Every day, Daily Average",1506,1290,1757
"4946","Movement Zone 4946","2108","Movement Zone 2108","9/1/2019 - 9/1/2019, Every day, Daily Average",1396,1169,1666
"4946","Movement Zone 4946","2110","Movement Zone 2110","9/1/2019 - 9/1/2019, Every day, Daily Average",1294,992,1686
"4946","Movement Zone 4946","2112","Movement Zone 2112","9/1/2019 - 9/1/2019, Every day, Daily Average",1725,1410,2109
"4946","Movement Zone 4946","2113","Movement Zone 2113","9/1/2019 - 9/1/2019, Every day, Daily Average",2354,1907,2905
"4946","Movement Zone 4946","2114","Movement Zone 2114","9/1/2019 - 9/1/2019, Every day, Daily Average",1677,1402,2005
"4946","Movement Zone 4946","2115","Movement Zone 2115","9/1/2019 - 9/1/2019, Every day, Daily Average",2364,1956,2856
"4946","Movement Zone 4946","2116","Movement Zone 2116","9/1/2019 - 9/1/2019, Every day, Daily Average",1179,876,1585
"4946","Movement Zone 4946","2125","Movement Zone 2125","9/1/2019 - 9/1/2019, Every day, Daily Average",2152,1800,2572
"4946","Movement Zone 4946","2127","Movement Zone 2127","9/1/2019 - 9/1/2019, Every day, Daily Average",2084,1748,2483
"4946","Movement Zone 4946","2128","Movement Zone 2128","9/1/2019 - 9/1/2019, Every day, Daily Average",1927,1545,2402
"4946","Movement Zone 4946","2130","Movement Zone 2130","9/1/2019 - 9/1/2019, Every day, Daily Average",2635,2041,3400
"4946","Movement Zone 4946","2134","Movement Zone 2134","9/1/2019 - 9/1/2019, Every day, Daily Average",1742,1466,2069
