"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","1375","Movement Zone 1375","9/1/2019 - 9/30/2019, Every day, Daily Average",2166,1562,3001
"4946","Movement Zone 4946","1376","Movement Zone 1376","9/1/2019 - 9/30/2019, Every day, Daily Average",2842,2082,3878
"4946","Movement Zone 4946","1378","Movement Zone 1378","9/1/2019 - 9/30/2019, Every day, Daily Average",2982,2203,4036
"4946","Movement Zone 4946","1379","Movement Zone 1379","9/1/2019 - 9/30/2019, Every day, Daily Average",3352,2465,4557
"4946","Movement Zone 4946","1380","Movement Zone 1380","9/1/2019 - 9/30/2019, Every day, Daily Average",3185,2375,4270
"4946","Movement Zone 4946","1381","Movement Zone 1381","9/1/2019 - 9/30/2019, Every day, Daily Average",3172,2368,4248
"4946","Movement Zone 4946","1382","Movement Zone 1382","9/1/2019 - 9/30/2019, Every day, Daily Average",2659,1825,3872
"4946","Movement Zone 4946","1383","Movement Zone 1383","9/1/2019 - 9/30/2019, Every day, Daily Average",2839,2121,3798
"4946","Movement Zone 4946","1384","Movement Zone 1384","9/1/2019 - 9/30/2019, Every day, Daily Average",2110,1503,2961
"4946","Movement Zone 4946","1386","Movement Zone 1386","9/1/2019 - 9/30/2019, Every day, Daily Average",2666,2068,3436
"4946","Movement Zone 4946","1387","Movement Zone 1387","9/1/2019 - 9/30/2019, Every day, Daily Average",2679,1961,3658
"4946","Movement Zone 4946","1388","Movement Zone 1388","9/1/2019 - 9/30/2019, Every day, Daily Average",2797,1994,3923
"4946","Movement Zone 4946","1390","Movement Zone 1390","9/1/2019 - 9/30/2019, Every day, Daily Average",3400,2623,4406
"4946","Movement Zone 4946","1394","Movement Zone 1394","9/1/2019 - 9/30/2019, Every day, Daily Average",3302,2399,4543
"4946","Movement Zone 4946","1395","Movement Zone 1395","9/1/2019 - 9/30/2019, Every day, Daily Average",3156,2084,4777
"4946","Movement Zone 4946","1397","Movement Zone 1397","9/1/2019 - 9/30/2019, Every day, Daily Average",2974,2179,4058
"4946","Movement Zone 4946","1398","Movement Zone 1398","9/1/2019 - 9/30/2019, Every day, Daily Average",3090,2317,4120
