"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","443","Movement Zone 443","9/2/2019 - 9/2/2019, Every day, Daily Average",2457,1985,3041
"4946","Movement Zone 4946","467","Movement Zone 467","9/2/2019 - 9/2/2019, Every day, Daily Average",2426,2124,2770
"4946","Movement Zone 4946","491","Movement Zone 491","9/2/2019 - 9/2/2019, Every day, Daily Average",2304,1850,2868
"4946","Movement Zone 4946","535","Movement Zone 535","9/2/2019 - 9/2/2019, Every day, Daily Average",2784,2103,3684
"4946","Movement Zone 4946","560","Movement Zone 560","9/2/2019 - 9/2/2019, Every day, Daily Average",2877,2466,3355
"4946","Movement Zone 4946","566","Movement Zone 566","9/2/2019 - 9/2/2019, Every day, Daily Average",2982,2166,4104
"4946","Movement Zone 4946","567","Movement Zone 567","9/2/2019 - 9/2/2019, Every day, Daily Average",3037,2178,4233
"4946","Movement Zone 4946","569","Movement Zone 569","9/2/2019 - 9/2/2019, Every day, Daily Average",2956,2403,3636
"4946","Movement Zone 4946","570","Movement Zone 570","9/2/2019 - 9/2/2019, Every day, Daily Average",2750,2225,3397
"4946","Movement Zone 4946","572","Movement Zone 572","9/2/2019 - 9/2/2019, Every day, Daily Average",2872,2037,4048
"4946","Movement Zone 4946","576","Movement Zone 576","9/2/2019 - 9/2/2019, Every day, Daily Average",3423,2633,4449
"4946","Movement Zone 4946","579","Movement Zone 579","9/2/2019 - 9/2/2019, Every day, Daily Average",2656,1995,3535
"4946","Movement Zone 4946","581","Movement Zone 581","9/2/2019 - 9/2/2019, Every day, Daily Average",2941,2273,3804
"4946","Movement Zone 4946","583","Movement Zone 583","9/2/2019 - 9/2/2019, Every day, Daily Average",2897,2323,3612
"4946","Movement Zone 4946","584","Movement Zone 584","9/2/2019 - 9/2/2019, Every day, Daily Average",3050,2354,3950
"4946","Movement Zone 4946","585","Movement Zone 585","9/2/2019 - 9/2/2019, Every day, Daily Average",2924,2084,4102
"4946","Movement Zone 4946","596","Movement Zone 596","9/2/2019 - 9/2/2019, Every day, Daily Average",2405,2068,2795
"4946","Movement Zone 4946","604","Movement Zone 604","9/2/2019 - 9/2/2019, Every day, Daily Average",2095,1651,2657
"4946","Movement Zone 4946","613","Movement Zone 613","9/2/2019 - 9/2/2019, Every day, Daily Average",1679,1262,2233
"4946","Movement Zone 4946","614","Movement Zone 614","9/2/2019 - 9/2/2019, Every day, Daily Average",1765,1354,2300
"4946","Movement Zone 4946","633","Movement Zone 633","9/2/2019 - 9/2/2019, Every day, Daily Average",2792,1949,3998
"4946","Movement Zone 4946","636","Movement Zone 636","9/2/2019 - 9/2/2019, Every day, Daily Average",1652,1271,2147
"4946","Movement Zone 4946","637","Movement Zone 637","9/2/2019 - 9/2/2019, Every day, Daily Average",2391,1904,3001
"4946","Movement Zone 4946","639","Movement Zone 639","9/2/2019 - 9/2/2019, Every day, Daily Average",1994,1579,2516
"4946","Movement Zone 4946","640","Movement Zone 640","9/2/2019 - 9/2/2019, Every day, Daily Average",2073,1837,2338
"4946","Movement Zone 4946","641","Movement Zone 641","9/2/2019 - 9/2/2019, Every day, Daily Average",2242,1803,2786
"4946","Movement Zone 4946","642","Movement Zone 642","9/2/2019 - 9/2/2019, Every day, Daily Average",2571,2175,3038
"4946","Movement Zone 4946","643","Movement Zone 643","9/2/2019 - 9/2/2019, Every day, Daily Average",2275,1897,2727
